name_with_abstract,category
SINAV KAYGISI ÖLÇME SİSTEMİ VE YÖNTEMİ Buluş psikoloji alanında çocukların sınav kaygılarını azaltmaya yönelik sınav kaygısı ölçme sistemi ve yöntemi ile ilgilidir. Buluşun özelliği canlandırılan sınav ortamına ait bir videonun öğrencilere sanal gerçeklik gözlüğü (10) vasıtasıyla izletilerek sınav anını deneyimlemesi ve bu esnada öğrencinin nabız ölçer (20) vasıtasıyla nabız artışlarından alınan nicel verilerin sunucu (40) üzerinden monitör (50) vasıtasıyla uzman veya uzmanlara anlık olarak aktarılması ve aynı zamanda işlem sırasında öğrencideki fiziksel değişimlerin gözlenerek kaygı düzeyinin ölçülmesinin sağlanmasıdır. ,Artırılmış ve Sanal Gerçeklik
BİR CİHAZ VE BU CİHAZIN ÇALIŞMASINI SAĞLAYAN PLATFORM Buluş cihazın (10) sahip olduğu multimedia sistemi (17) aracılığı ile kullanıcının sesinin tanınması kullanıcının sesli olarak ifade ettiği ürün marka modeli ile ilgili modelin görüntü algılama birimi (13) vasıtası ile ekran birimi (11) üzerinde belirtilen dış ortamın belirli bir bölümü üzerinde ürünün modellenerek kullanıcıya sanal gerçeklik sunulmasını sağlaması ile karakterize edilen en az bir adet görüntü algılama birimine (13) en az bir adet mikrofon içeren multimedia sistemine (17) ve en az bir adet ekran birimine (11) sahip cihaz (10) ve bahsedilen cihaz (10) ile simülasyon yapılmasını ve kullanıcının söz konusu ürünü simülasyon ile inceleyebilmesini sağlayan satış öncesi ve satış sonrası kullanıma uygun bir platform ile ilgilidir. ,Artırılmış ve Sanal Gerçeklik
YEM TESİSLERİ İÇİN AKILLI PROSES TAKİP SİSTEMİ Buluş endüstriyel yem üretim tesislerinin içerisinde yer alan ana prosesler olan hammadde alım dozajlama kırma karıştırma pişirme peletleme soğutma gibi başlıca proses aşamaları ve bu prosesleri gerçekleştirmek üzere kullanılan makinelerin çeşitli çalışma parametrelerinin arttırılmış gerçeklik sanal gerçeklik karma gerçeklik ve mobil cihazlar aracılığıyla tesiste görevli operatöre bakım-onarım personeline ya da tesis yöneticisine istenen bilgilerin farklı ara yüzler üzerinden sunulması tekniklerini içeren yem tesisleri için akıllı proses takip sistemi (A) ile ilgilidir. ,Artırılmış ve Sanal Gerçeklik
MÜZİK İLE İLİŞKİLİ OLARAK SANAL GERÇEKLİK SENARYOLARININ DEĞİŞTİRİLMESİNİ SAĞLAYAN BİR SİSTEM Bu buluş kullanıcıların dinledikleri müziğin türüne ve/veya moduna göre kendilerini sanal dünyada çeşitli ortamlarda/mekanlarda bulunuyormuş gibi hissetmelerini sağlayan sanal gerçeklik teknolojisi ile uyumlu çalışan bir müzik dinleme deneyimi oluşturulmasını sağlayan bir sistem (1) ile ilgilidir. ,Artırılmış ve Sanal Gerçeklik
TARİHİ OLAYLARIN SANAL ORTAMDA SUNULMASINI SAĞLAYAN BİR SİSTEM Bu buluş konum bilgisi ile eşleştirilen tarihi olaylara ait senaryoları kullanıcılarının konum bilgisini kullanarak ilgili konumda meydana gelen tarihi olaylar doğrultusunda kullanıcılarına sanal gerçeklik (virtual reality) ile sanal ortamda deneyimlemesine olanak sağlayan bir sistem (1) ile ilgilidir. ,Artırılmış ve Sanal Gerçeklik
SANAL GERÇEKLİK TEKNOLOJİSİNDE ELEKTROMANYETİK FREKANSLARIN KULLANILMASI Bu buluş sanal gerçeklik teknolojisinde elektromanyetik frekansın kullanılmasıyla ilgilidir. ,Artırılmış ve Sanal Gerçeklik
ÇOKLU DUYUSAL DENEYİM KABİN PLATFORMU Buluş pazarlama eğitim sağlık seyahat inşaat askeri oyun ve eğlence gibi sektörlerde kullanılmak üzere görme duyma hissetme koklama ve tat alma duyularını uyararak gerçekliği artırılmış bir çoklu duyusal deneyim sunan kabin platformu (1) olup özelliği gövde (10) içerisinde yer alan ve gövde (10) içerisine sanal gerçeklik uygulaması programına senkron bir şekilde ısı tedariki sağlayan ısı modülü (12) içermesi gövde (10) içerisinde yer alan ve gövde (10) içerisine sanal gerçeklik uygulaması programına senkron bir şekilde koku ve soğuk su buharı tedariki sağlayan koku modülü (13) içermesi gövde (10) içerisinde yer alan ve gövde (10) içerisine sanal gerçeklik uygulaması programına senkron bir şekilde rüzgar formunda şiddeti ayarlanabilir hava tedariki sağlayan rüzgar modülü (14) içermesi gövde (10) içerisindeki havayı temizleyen koku modülünden (13) verilen kokunun sanal gerçeklik uygulamasındaki etkisi sona erdiğinden gövde (10) içerisinden uzaklaştırılmasını sağlayan hava temizleyici fan (15) içermesi bütün modüllerin (12 13 14) hava temizleyici fanın (15) sanal gerçeklik uygulamasının sanal gerçeklik gözlüğünün (11) senkron bir şekilde çalışmasını sağlayan yazılımları içeren kontrol birimi (17) içermesi ile karakterize edilmesidir. ,Artırılmış ve Sanal Gerçeklik
SANAL GERÇEKLİK BAZLI KİŞİLİK ANALİZİ PLATFORMU Buluş personel alımı ve yerleşimi sırasında kullanılabilecek sanal gerçeklik bazlı kişilik analizi uygulamasıdır ve çalışanların yeteneklerini ve algısal eğilimlerini belirleyen bir platformdur. ,Artırılmış ve Sanal Gerçeklik
TAKTİKSEL FUTBOL ANTRENMANLARINDA SANAL GERÇEKLİK CİHAZI Buluş sporcuların kabiliyetine ve performansına bağlı olarak simüle edilen oyunun kalitesinin istenilen şekilde ayarlanabildiği oyuncuların sanal bir müsabaka sırasında gerçek bir futbol maçındaymış gibi reaksiyon vermesini sağlamak için geliştirilen bir sanal gerçeklik cihazı ile ilgilidir. ,Artırılmış ve Sanal Gerçeklik
BİR TELEVİZYON VE BUNUNLA KULLANILMAYA UYGUN BİR SANAL GERÇEKLİK GÖZLÜĞÜ Bu buluş içerikleri bir sanal gerçeklik gözlüğüne gönderebilen bir televizyon ve bu televizyonla çalışmaya uygun bir sanal gerçeklik gözlüğü ile ilgilidir. Buluş konusu televizyonda sanal gerçeklik verisi televizyon yayınından ayrı bir şekilde elde edilerek bu yayına ait görüntülere eklenmektedir. ,Artırılmış ve Sanal Gerçeklik
GÖRME ALANI TESTİ İÇİN TAŞINABİLİR SANAL GERÇEKLİK CİHAZI Buluş konusu yüksek çözünürlüklü ekranı kendi güç kaynağı işletim sistemi ve bilgisayarı içeren hastanın test edilmekte olan gözüne farklı ışık değerlerinde farklı noktalarda ışıklar gösterilmesini sağlayan ve kafa bandı (1) iç mercek (2) fonksiyon tuşları ve dokunmatik kontrol alanı (3) kamera ve aydınlatma sistemi (4) uzaktan kumanda (5) doktorlar tarafından test cihazının uzaktan yönetilmesi ve hasta kayıtlarının oluşturulması için kullanılacak her tür işletim sistemi ile çalışan online/offline ağ erişimi olan ve server tarafında dataların bulut ve/veya benzeri veritabanı üzerinde saklanmasına yarayan görme alanı testi için taşınabilir sanal gerçeklik cihazı ile ilgilidir. ,Artırılmış ve Sanal Gerçeklik
SANAL GERÇEKLİK GÖZLÜĞÜNDE YAPILAN GELİŞTİRME Havacılık turizm eğlence eğitim teknoloji vs. gibi sektörlerde kullanılan sanal gerçeklik gözlüğünde yapılan geliştirme ile ilgili olan bu buluş özelliği çok boyutlu kamera aracılığıyla yapılan çekim (1) bilgisayar (2) ekran kartı çoklama ünitesi (3) sanal gerçeklik gözlüğü (4) HDMI Kablo (5) balon sepeti (6) balon kubbesi (7) ses Sistemi ve bağlantılarından (8) meydana gelmektedir. ,Artırılmış ve Sanal Gerçeklik
ÇOKLU EKRAN GÖRÜNTÜLEME SİSTEMİ UZAKTAN KUMANDA ETME YÖNTEMİ Bu buluş kaynak dosyalarını birden fazla görüntüleme cihazında görüntülenmek üzere oluşturulan bir çoklu ekran görüntüleme sisteminin uzaktan kontrol edilmesini sağlayan bir yöntem ile ilgilidir. Bu buluş özellikle çoklu ekran görüntüleme sistemindeki her bir görüntüleme cihazı üzerinde bulunan ve sanal gerçeklik ekipmanı ile haberleşebilen sensörler ve kontrol elemanları ile sanal gerçeklik ekipmanı kullanılarak görüntüleme cihazlarının ayarlarının kumanda edildiği bir yöntemle ilgilidir. ,Artırılmış ve Sanal Gerçeklik
Bulut ve servis tabanlı yapay zeka destekli simülasyon eğitim platformu sistemi ve yöntemi Buluş kapsamlı bir sanal gerçeklik ve simülasyon sisteminin bulut bilişim ortamında bir platforma dönüştürülmesi suretiyle üzerine değişik alanlar için üretilen eğitim içeriklerine servis tabanlı olarak kullanıcıların eğitim amaçlı erişim sağladığı bulut ve servis tabanlı yapay zeka destekli simülasyon eğitim platformu sistemi ve yöntemi ile ilgili olup özelliği kapsamlı bir sanal gerçeklik ve simülasyon sisteminin bulut bilişim ortamında bir grafik hızlandırıcı sanallaştırma platformuna (1) dönüştürülerek üzerine değişik alanlar için üretilen eğitim içeriklerini servis tabanlı olarak eğitilenler (B) tarafından kullanılmasının sağlanmasıdır. Eğitilenler (B) sisteme eğitim yönetim sistemi (2) üzerinden bağlanır istediği eğitimi seçerek kullanabilir ve geçmiş tüm eğitimlerini takip edebilir. Sistem bulut bilişim ortamından zaman ve içerik olarak internet üzerinden ödeme sistemi (5) vasıtasıyla kullanılır. Eğitilenlerin (B) tüm eğitim sonuçları bulut üzerinde gizlilik ve değişmezlik zinciri (6) vasıtasıyla korunarak saklanır ve bu ölçme değerlendirme sonuçları yetkilendirmeler gözetilerek bilmesi gereken prensibi ile paylaşılır. ,Artırılmış ve Sanal Gerçeklik
BİSİKLET SİMÜLATÖRÜ Bu buluş sabit bir bisiklet ile canlandırılmış bir parkurda bisiklet sürüldüğü izlenimi oluşturulmasını ve kullanıcıların bulundukları konumlardan bağımsız olarak birlikte bisiklet sürdüğü izlenimi oluşturulabilmesini sağlayan bir bisiklet simülatörü ile ilgilidir. Bu buluş ile kullanıcı tarafından tahriklenen bir aksama bağlı bir hız sensörü gidona bağlı bir yön sensörü bir parkura ilişkin canlandırma içeriklerinin kullanıcıya sunumunu sağlayan bir sanal gerçeklik gözlüğü ve canlandırılan ortamın özellikleri ile hız sensörü ve yön sensörü verileri doğrultusunda canlandırılan parkuru kullanıcıda bu parkur içinde hareket ediliyormuş hissi verecek biçimde güncelleyen bir kontrol birimi içeren bir bisiklet simülatörü geliştirilmiştir. Bisiklet simülatörü bir sunucuya bağlanarak çok sayıda kullanıcının canladırılan bir parkur üzerinde birlikte bisiklet sürmesine de olanak tanımaktadır. ,Artırılmış ve Sanal Gerçeklik
TEKERLEKLİ SANDALYE SİMÜLATÖRÜ Bu buluş tekerlekli sandalye kullanımının tekerlekli sandalye kullanmayanlar tarafından anlaşılabilmesini ve yeni tekerlekli sandalye kullanmaya başlayanların eğitilebilmesini sağlayan bir tekerlekli sandalye simülatörü ile ilgilidir. Bu buluş ile bir masfal ve hareket kolları aracılığı ile hareketlendirilen bir platform üzerinde yer alan bir koltuk bu koltuğun yanlarında yer alan kullanıcının el ile tahrikleyebileceği iki adet tekerlek kullanıcıya bir ortam canlandırmasına ilişkin içeriklerin sunumunu sağlayan bir sanal gerçeklik gözlüğü ve canlandırılan ortamın özellikleri ile kullanıcı tarafından sağlanan tekerlek hareketleri doğrultusunda canlandırılan ortamı kullanıcıda bu ortam içinde hareket ediliyormuş hissi verecek biçimde güncelleyen bir kontrol birimi içeren bir tekerlekli sandalye simülatörü geliştirilmiştir. ,Artırılmış ve Sanal Gerçeklik
Sanal gerçeklik uygulamaları için bir sistem ve çalışma yöntemi. Mevcut buluşla bir sanal gerçeklik ortamının kullanıcıya gösterilmesini sağlayan bir sanal gerçeklik cihazında kullanılmaya uygun olan bir sistem ve bir çalışma yöntemi geliştirilmektedir. Bahsedilen sistem bahsedilen sanal gerçeklik cihazıyla bağlantılı olan bir gerçek ortamda bulunan ve kullanıcının hareket etmesine engel olan bir cismin tespit edilmesini sağlayan en az bir sensörü bahsedilen sensörle bağlantılı olan sensör tarafından bir cisim tespit edildiğinde tespit edilen cismin bir üç boyutlu modelinin oluşturulmasını sağlayan en az bir üç boyutlu tarayıcı sistemi bahsedilen tarayıcı sistemler bağlantılı olan tarayıcı cisim tarafından oluşturulan üç boyutlu modelin sanal gerçeklik ortamında kullanıcıya gösterilmesini sağlayan en az bir kontrol ünitesini içermektedir. ,Artırılmış ve Sanal Gerçeklik
Sanal gerçeklik uygulamaları için bir sistem ve çalışma yöntemi. Mevcut buluşla bir sanal gerçeklik ortamının kullanıcıya gösterilmesini sağlayan bir sanal gerçeklik cihazında kullanılmaya uygun olan bir sistem ve bir çalışma yöntemi geliştirilmektedir. Bahsedilen sistem bahsedilen sanal gerçeklik cihazıyla bağlantılı olan bir gerçek ortamda bulunan ve kullanıcının hareket etmesine engel olan bir cismin tespit edilmesini sağlayan en az bir sensörü bahsedilen sensörle bağlantılı olan bahsedilen cisimlere karşılık gelecek şekilde bir sanal ortamda oluşturulan en az bir sanal cismi içeren bir tabloyu içeren sensörün algıladığı cismin bilgisinin iletildiği ve cisim bilgisi ile tablodaki cisim bilgilerini karşılaştırarak cisim bilgisine karşılık gelen sanal cismi belirleyen belirlenen sanal cismi kullanıcı sanal gerçeklik ortamındayken sanal ortama aktaran en az bir kontrol birimini içermektedir. Bahsedilen çalışma yöntemi ise kullanıcının sanal gerçeklik için bir gerçek ortamda iken sanal gerçeklik cihazını takması ve sanal gerçeklik deneyimine başlaması sanal gerçeklik cihazının takılmasıyla sanal gerçeklik cihazıyla bağlantılı olan bir sensörün etkinleşerek gerçek ortamdaki kullanıcının çarpabileceği en az bir cismi algılaması ve kontrol birimine iletmesi kontrol biriminde bahsedilen cisme karşılık gelen bir sanal cismin kontrol birimindeki tablodan belirlenmesi bahsedilen sanal cismini sanal gerçeklik cihazı vasıtasıyla sanal ortama aktarılması adımlarını içermektedir. ,Artırılmış ve Sanal Gerçeklik
SANAL ORTAMDA SENARYO BAZLI BİR ETKİNLİK SİSTEMİ Bu buluş editörün belirli bir etkinliğin simülasyonunu oluşturmak üzere video ve soru/cevap içeriklerinden oluşan senaryoların sanal gerçeklik (virtual reality) veya artırılmış gerçeklik (augmented reality) ile sanal ortamda kullanıcıların deneyimlemesine olanak tanıyan bir sistem (1) ile ilgilidir. Buluş konusu sistem (1) editör cihazı (2) sanal ortam cihazı (3) veri tabanı (4) dosya sunucusu (5) ve uygulama sunucusundan (6) oluşmaktadır. ,Artırılmış ve Sanal Gerçeklik
BİR EĞİTİM VE ÖĞRETİM UYGULAMA YÖNTEMİ Eğitim ve öğretim sektöründe özellikle iş güvenliği ve işçi sağlığı eğitimlerinde katılımcılara eğitimlerini interaftik bir sanal ortamda vererek hem katılımı hem ilgiyi arttırırken dikkat dağılımını da ortadan kaldıran bir eğitim ve öğretim uygulama yöntemi ile ilgili olan bu buluş genel olarak sadece iş güvenliği ve işçi sağlığı eğitimlerinin verilmesi için eğitimci(3) ve katılımcıların(4) bir araya getirildiği ve eğitimin gerçekleştirildiği sınıf oda eğitim ortamı(5) eğitim konularının ve uygulamalarının tüm görsel ve dijital verilerinin barındırıldığı ve istenildiğinde eğitimci(3) kontrolünde verilerin gönderildiği ve yayınlandığı ana istemci(1) ana istemciden(1) gelen tüm görsel ve dijital verilerinin oynatıldığı ve katılımcı(4) eğitimcilere(3) sanal ortamda anı yaşatarak gösterimini sağlayan sanal gerçeklik modülü(2) katılımcının(4)eğitim konuları ve uygulamalarına sanal gerçeklik modülü(2) ile bağlantısıyla beraber uygulamada bireysel katılımını sağlayan katılımcı modülünden(6) oluşmaktadır. ,Artırılmış ve Sanal Gerçeklik
Bir ATM Yönetim Sistemi Buluş para alış-veriş işlemlerinde arttırılmış gerçeklik teknolojisini kullanan enerji tüketimi az olan düşük maliyetli ve yüksek güvenlik özelliğine sahip bir para transfer sistemi (1) ile ilgili olup kullanıcıların (K) hesaplarından para çekmelerini hesaplarına para yatırmalarını ve ödeme işlemleri yapmalarını sağlayan ATM (2) kullanıcıların (K) ATM. ye (2) para koymalarını ve ATM. den para çekmelerini sağlayan para giriş/çıkış haznesi (3) tablet akıllı telefon ve bunun gibi türden mobil cihaz (4) ATM (2) üzerinde yer alan ve arttırılmış gerçeklik teknolojisiyle bankacılık işlemlerini yapmasını sağlayan QR kod (5) bankacılık işlemlerini mobil cihaz (4) üzerinden sanal gerçeklik teknolojisi vasıtasıyla gerçekleştiren mobil uygulama (6) kamera tarafından çekilen QR kodun (5) okunmasını sağlayan tarayıcı (7) ATM (2) ile mobil cihazın (4) eşleşmesini sağlamak amacıyla kullanılan benzersiz güvenlik numarasını gösteren güvenlik ekranı (8) QR kod (5) okutulduktan sonra ATM (2) ile mobil cihazın (4) eşleşmesini sağlamak amacıyla güvenlik ekranı (8) üzerinde yer alan benzersiz güvenlik numarasının aynısının uygulama (6) üzerinde de gösterilmesini sağlayan güvenlik bileşeni (9) ve ATM (2) ile mobil cihazın (4) eşleşmesi sağlandıktan sonra kullanıcıların (K) bankacılık işlemlerini sanal gerçeklik teknolojisi vasıtasıyla yapmasını sağlayan ara yüz bileşeni (10) içermektedir. ,Artırılmış ve Sanal Gerçeklik
KONUT SATIŞ VE TANITIM SİSTEMİ Buluş kullanıcıların satın almak istedikleri daireleri kendi zevkleri doğrultusunda tasarlamalarına da imkân tanıyan ve dairelerin kişiselleştirilebilmesini sağlayan konut satış ve tanıtım sistemi ile ilgilidir. Buluş özellikle büyük ölçekli inşaat projelerinde kullanılmak için tasarlanmış binalarının temelini dahi atmamışken kullanıcılara istedikleri daireleri tablet bilgisayar veya sanal gerçeklik gözlüğüyle gösterebilen konut satış ve tanıtım sistemi ile ilgilidir. ,Artırılmış ve Sanal Gerçeklik
SANAL GERÇEKLİK SİMÜLATÖRÜ Buluş askeri eğitim mimari sağlık müze gibi uygulamalarda kullanılan bilgisayar ürünü programla işbirliği içinde çalışan kullanıcıları bir belirli veya anlık değişebilirliği olan bir senaryonun içine sokarak kullanıcıların hareketlerinin tutulduğu fiziksel hareketler ve nesneler ile sanal gerçekliği birleştiren sanal gerçeklik simülatörü ile ilgilidir. Buluş özellikle bir ya da daha çok kullanıcının (30) veya nesnelerin (80) 3 boyutlu ortamda tam ölçekli veya bağımsız ölçekli olarak tanımlanabildiği hareket tutma verilerinin kullanıcı bilgisayarlarına (60) ve sunucu bilgisayarına (100) aktarılarak bütün kullanıcıların (30) kafaya takılan stereoskopik görüntü sağlayan gösterim birimi (50) ile birbirlerini görebildiği hareketlerini takip edebildiği ve etkileşime geçebildiği sanal gerçeklik simülatörüdür. Kullanıcıların birbirlerini tam-ölçekli veya bağımsız-ölçekli olarak görebildiği bu sayede farklı perspektif açılarına sahip sistem olup kullanıcıların (30) yaptığı hareketlerin anlık takibi yaptığı hareketlerin ve aksiyonların simülasyonda ki sanal ortamda oluşturacağı değişiklikleri kullanıcıların (30) görmesi ve bu değişiklikler içinde simülasyona devam edebildiği bir sanal gerçeklik simülasyon sistemidir. ,Artırılmış ve Sanal Gerçeklik
