name,category
BİR EĞİTİM VE ÖĞRETİM UYGULAMA YÖNTEMİ,Artırılmış ve Sanal Gerçeklik
Bir ATM Yönetim Sistemi,Artırılmış ve Sanal Gerçeklik
KONUT SATIŞ VE TANITIM SİSTEMİ,Artırılmış ve Sanal Gerçeklik
SANAL GERÇEKLİK SİMÜLATÖRÜ,Artırılmış ve Sanal Gerçeklik
Psikolojide sanal gerçeklik kullanımı.,Artırılmış ve Sanal Gerçeklik
KULLANICILARIN İŞ GÖRÜŞMESİ DENEYİMİ KAZANMASINI SAĞLAYAN BİR SİSTEM,Artırılmış ve Sanal Gerçeklik
VR SANAL GERÇEKLİK ÜZERİNE GELİŞTİRİLEN CANLI EĞİTİM METODU,Artırılmış ve Sanal Gerçeklik
SANAL GERÇEKLİK SİSTEMİ İLE UZAKTAN EĞİTİM VE ÖĞRETİM,Artırılmış ve Sanal Gerçeklik
Bir sanal gerçeklik başlığının konumunun belirlenmesi ve hizalanması ve bir sanal gerçeklik başlığına sahip bir fuar oyuncağı,Artırılmış ve Sanal Gerçeklik
Sanal antrenman sistemi.,Artırılmış ve Sanal Gerçeklik
ENDOSKOPİ CİHAZLARI İÇİN JOYSTİCK KONTROLLÜ EL ÜNİTESİ VE KABLOSUZ VERİ İLETİMİ TEKNOLOJİSİ VE METODU,Artırılmış ve Sanal Gerçeklik
ÜÇ BOYUTLU MODELLERİN MOBİL DESTEKLİ SANAL GERÇEKLİK (VR) GÖZLÜKLERİ İLE GÖRÜNTÜLENMESİ,Artırılmış ve Sanal Gerçeklik
Sanal Gerçeklik Sistemi,Artırılmış ve Sanal Gerçeklik
Akrobatik simülatör.,Artırılmış ve Sanal Gerçeklik
ÜÇ BOYUTLU MODELLERİN MOBİL DESTEKLİ SANAL GERÇEKLİK (VR) GÖZLÜKLERİ İLE GÖRÜNTÜLENMESİ,Artırılmış ve Sanal Gerçeklik
BİR KAVİSLİ EKRANDA SANAL GERÇEKLİK ORTAMI OLUŞTURULMASINI SAĞLAYAN SİSTEM VE YÖNTEM,Artırılmış ve Sanal Gerçeklik
İşitme engelliler için sanal gerçeklik gözlüklerinde işaret dili animasyon eklentisi,Artırılmış ve Sanal Gerçeklik
Sanal gerçeklik teknolojisi ile konaklanmak istenen ortamı sanal olarak dolaşma imkânı sağlayan uygulama,Artırılmış ve Sanal Gerçeklik
BİR SANAL GERÇEKLİK HAREKET PLATFORMU,Artırılmış ve Sanal Gerçeklik
İnteraktif Sanal Gerçeklik Platformu Sistemi,Artırılmış ve Sanal Gerçeklik
Sanal gerçeklikle tarihi ve coğrafi gibi her türlü turistik gezi yerlerinin canlı yayında web yazılımı sayesinde binlerce kişinin aynı anda turlara katılabilmesini sağlayan sistem,Artırılmış ve Sanal Gerçeklik
PLASTİK SANAL GERÇEKLİK GÖZLÜĞÜ,Artırılmış ve Sanal Gerçeklik
ARAÇ KOLTUĞU HAREKET ALANI ÖLÇÜMLEME VE OTURMA POZİSYONU BELİRLEME SİSTEMİ,Artırılmış ve Sanal Gerçeklik
Manuel Üç Boyutlu Sanal Gerçeklik Sağlayan Film ve Elektronik Oyun İzleme Gözlüğü,Artırılmış ve Sanal Gerçeklik
Bir cihazın özellikle bir lunapark aracının bir nakil aracının bir fitness ekipmanının veya benzerlerinin çalıştırılmasına yönelik yöntem,Artırılmış ve Sanal Gerçeklik
Aracılı gerçeklik.,Artırılmış ve Sanal Gerçeklik
Taktiksel futbol antrenmanlarında sanal gerçeklik cihazı.,Artırılmış ve Sanal Gerçeklik
Sanal Gerçeklik Yürüme Simülatörü ve Güvenli Koşu Bandı,Artırılmış ve Sanal Gerçeklik
SANAL GERÇEKLİK ESASLI BİR UZAKTAN EĞİTİM SİSTEMİ VE YÖNTEMİ,Artırılmış ve Sanal Gerçeklik
Sanal gerçeklik içeriği kontrolü.,Artırılmış ve Sanal Gerçeklik
Bir bilgilendirme sistemi.,Artırılmış ve Sanal Gerçeklik
Bir sanal gerçeklik yöntemi.,Artırılmış ve Sanal Gerçeklik
Duygusal ve ruhsal açlığın doyumu vasıtasıyla kilo kontrol zayıflama ve kaliteli uzun yaşam yöntemi.,Artırılmış ve Sanal Gerçeklik
Sanal gerçeklik efekti sağlama amaçlı bir yöntem ve sistem.,Artırılmış ve Sanal Gerçeklik
Hareket tutma kafaya monte edilen gösterim birimi ve cave kullanılan kuşatımlı işbirliğiyle gerçekleştirilen ortam.,Artırılmış ve Sanal Gerçeklik
Sanal gerçeklikle tütün içme sistemi.,Artırılmış ve Sanal Gerçeklik
ARTIRILMIŞ GERÇEKLİK (AR) KOD ENTEGRELİ MAGNET,Artırılmış ve Sanal Gerçeklik
SENSÖRDEN TOPLANAN ORTAM VERİLERİNİN ÇALIŞANA GÖSTERİLMESİNİ SAĞLAYAN BİR SİSTEM,Artırılmış ve Sanal Gerçeklik
Artırılmış gerçeklik sanal gerçeklik ve robotik uygulamalara müdahale etmenizi sağlayan akıllı eldiven platformu.,Artırılmış ve Sanal Gerçeklik
BİR ÇAĞRI MERKEZİ İLETİŞİM SİSTEMİ,Artırılmış ve Sanal Gerçeklik
ÇEVİK YAZILIM GELİŞTİRME İÇİN DİJİTAL İŞ TAKİP SİSTEMİ,Artırılmış ve Sanal Gerçeklik
Bir uygulama deneyimleme sistemi,Artırılmış ve Sanal Gerçeklik
MESAJLAŞMA UYGULAMALARINDA ARTIRILMIŞ GERÇEKLİĞİN KULLANILMASINI SAĞLAYAN BİR SİSTEM,Artırılmış ve Sanal Gerçeklik
AKILLI BİR ALIŞVERİŞ SİSTEMİ,Artırılmış ve Sanal Gerçeklik
İNSANSIZ HAVA ARACI İLE SAHA GÖRÜŞÜ YAPILMASINI SAĞLAYAN BİR SİSTEM,Artırılmış ve Sanal Gerçeklik
BİR ARTIRILMIŞ GERÇEKLİK ALIŞVERİŞ SİSTEMİ,Artırılmış ve Sanal Gerçeklik
ARTIRILMIŞ GERÇEKLİK TEKNOLOJİSİ KULLANILARAK OLUŞTURULAN KAĞITLAR,Artırılmış ve Sanal Gerçeklik
Holografik harita gösterimi için bir sistem ve yöntem.,Artırılmış ve Sanal Gerçeklik
TAŞINMAZ MALA İLİŞKİN BİLGİLERİN ARTIRILMIŞ GERÇEKLİK İLE SUNULMASINI SAĞLAYAN BİR SİSTEM,Artırılmış ve Sanal Gerçeklik
PARALEL MANİPÜLATÖRLÜ GERÇEK ALET ETKİLEŞİMLİ KARMA GERÇEKLİK HAPTİK SİMÜLASYON SİSTEMİ,Artırılmış ve Sanal Gerçeklik
ARTIRILMIŞ SANAL GERÇEKLİK TAKTİK DURUM SERGİLEME SİSTEMİ,Artırılmış ve Sanal Gerçeklik
Lokasyon tabanlı artırılmış gerçeklik sanal reklam ve içerik sistemi.,Artırılmış ve Sanal Gerçeklik
KAYAK GÖZLÜKLERİ ÜZERİNDE PİSTLERE AİT BİLGİLERİN GÖRÜNTÜLENMESİNİ SAĞLAYAN BİR SİSTEM,Artırılmış ve Sanal Gerçeklik
YANGINA MÜDAHALE İÇİN KULLANILAN BİR DESTEK SİSTEMİ,Artırılmış ve Sanal Gerçeklik
Artırılmış Gerçeklik Uygulamalı Puzzle,Artırılmış ve Sanal Gerçeklik
Bir Mutfak Asistan Sistemi,Artırılmış ve Sanal Gerçeklik
BİR HİPERSPEKTRAL GÖRÜNTÜLEME YÖNTEMİ,Artırılmış ve Sanal Gerçeklik
SANAL ORTAMDA SENARYO BAZLI BİR ETKİNLİK SİSTEMİ,Artırılmış ve Sanal Gerçeklik
ARTIRILMIŞ GERÇEKLİK ÜZERİNDEN EMLAK BİLGİLENDİRMESİ YAPILMASINI SAĞLAYAN BİR SİSTEM,Artırılmış ve Sanal Gerçeklik
ARTIRILMIŞ GERÇEKLİK ÜZERİNDEN SOSYAL MECRA OLUŞTURULMASINI SAĞLAYAN BİR SİSTEM,Artırılmış ve Sanal Gerçeklik
Fiziki bir kart ile ilişkilendirilen artırılmış gerçeklik içeriğinin güvenli bir şekilde alıcıya iletilmesini sağlayan bir sistem.,Artırılmış ve Sanal Gerçeklik
Artırılmış Gerçeklik Teknolojisiyle Gelişmiş Sanal Ürün Tanıtımı,Artırılmış ve Sanal Gerçeklik
BİR GÖRÜNTÜLEME AYGITINDA KULLANIMA YÖNELİK KONTROLÖR,Artırılmış ve Sanal Gerçeklik
BİR MONOKÜLER GÖZ İÇİN BİR PANORAMİK GÖRÜŞ VEYA BİR BİNOKÜLER GÖRÜŞ SAĞLAMAK İÇİN CİHAZ,Artırılmış ve Sanal Gerçeklik
SOSYAL MEDYA ÜZERİNDEN ARTIRILMIŞ GERÇEKLİK İÇERİĞİNİN GÖSTERİLMESİ,Artırılmış ve Sanal Gerçeklik
ARTIRILMIŞ GERÇEKLİK ÖZELLİKLİ BİR KASK,Artırılmış ve Sanal Gerçeklik
ARAÇ HAKKINDA BİLGİ VEREBİLEN MOBİL APLİKASYON,Artırılmış ve Sanal Gerçeklik
Artırılmış gerçeklik ile bütünleşmiş WebRTC istemcisi içeren sistem ve sistemin gerçekleştirdiği yöntem,Artırılmış ve Sanal Gerçeklik
Bir artırılmış gerçeklik yazılım uygulamasının desteklenmesi.,Artırılmış ve Sanal Gerçeklik
ARTIRILMIŞ GERÇEKLİK KULLANILAN BİR DOĞRULAMA SİSTEMİ,Artırılmış ve Sanal Gerçeklik
ARTIRILMIŞ GERÇEKLİK VE SOSYAL AĞ ANALİZİYLE ABONELERİN YAKINLARIYLA TEMASA GEÇMESİ İÇİN BİR MOBİL HABERLEŞME YÖNTEMİ,Artırılmış ve Sanal Gerçeklik
Elektriksel şalt tesisatlarının montajına yönelik yöntem ve bu tür tesisatların montajının kolaylaştırılmasına yönelik montaj yardım aparatı.,Artırılmış ve Sanal Gerçeklik
Aracılı gerçeklik.,Artırılmış ve Sanal Gerçeklik
Fatura detayının gösterilmesinde kullanılan bir sistem ve yöntem.,Artırılmış ve Sanal Gerçeklik
Sanal arama yapan bir sistem.,Artırılmış ve Sanal Gerçeklik
Perkütan böbrek taşı operasyonunda (perkütan nefrolitotripsi-pcnl) giriş noktası ve açısını hesaplayan cihaz.,Artırılmış ve Sanal Gerçeklik
Artırılmış gerçeklik tabanlı eğitim sistemi (canlı kitap).,Artırılmış ve Sanal Gerçeklik
Koregrafi üretimi için sanal ve artırılmış gerçeklik tabanlı arayüzler,Artırılmış ve Sanal Gerçeklik
Artırılmış gerçeklik ortamı kullanılarak bir uygulama geliştirilmesi,Artırılmış ve Sanal Gerçeklik
Android arttırılmış gerçeklik uygulamaları için ekran konumlandırma algoritması,Artırılmış ve Sanal Gerçeklik
Artırılmış gerçeklik teknolojisinin yabancı dil eğitiminde kullanımı: İlkokul öğrencileri için bir eğitsel oyun uygulaması,Artırılmış ve Sanal Gerçeklik
Kayıp uzuv sendromu için artırılmış gerçeklik destekli rehabilitasyon sistemi,Artırılmış ve Sanal Gerçeklik
Üç boyutlu yüz modellerinden elde edilen geometri görüntüleri kullanılan derin öğrenme tabanlı üç boyutlu yüz ifadelerini tanıma,Artırılmış ve Sanal Gerçeklik
Sanal gerçeklik teknolojisini kullanarak fobilerin belirlenmesi ve başa çıkma yolları,Artırılmış ve Sanal Gerçeklik
Artırılmış gerçeklik teknolojisinin temel elektrik devreleri üzerinde uygulanması,Artırılmış ve Sanal Gerçeklik
Savunma sanayi uygulamalarına yönelik çok katmanlı artırılmış gerçeklik görüntü üreticinin tasarlanması ve geliştirilmesi,Artırılmış ve Sanal Gerçeklik
Holografik ve foveated göze yakın ekran,Artırılmış ve Sanal Gerçeklik
Bakış-noktası izleyicili interaktif geniş görüş-açılı ikili-odak-düzlemli artırılmış gerçeklik ekranı,Artırılmış ve Sanal Gerçeklik
Özel filtreleme ve özellik seçimi ile wi-fi tabanlı iç konum analizi,Artırılmış ve Sanal Gerçeklik
Doğru parçasi tespiti temelli bir i̇şaretçi tespiti algoritmasi,Artırılmış ve Sanal Gerçeklik
Kızılötesi derinlik kamerası ile 3 boyutlu yeniden modelleme,Artırılmış ve Sanal Gerçeklik
Bir paraşüt simülatörünün tasarımı ve geliştirilmesi,Artırılmış ve Sanal Gerçeklik
3 boyutlu objelerin fotovoltaik sistemlerde gölgeleme etkisinin modellenmesi ve gerçek zamanlı güç analizi,Artırılmış ve Sanal Gerçeklik
Sanal ortamda cisimlerin haptic kol ile manipülasyonu ve deformasyonu,Artırılmış ve Sanal Gerçeklik
Tıp ve mühendislik uygulamalarını amaçlayan üç boyutlu arttırılmış gerçeklik sistemi tasarımı ve geliştirilmesi,Artırılmış ve Sanal Gerçeklik
YUVARLAK ÖRME MAKİNELERİ İÇİN GERÇEK ZAMANLI KUMAŞ HATA DENETİMİ VE SINIFLANDIRMASI YAPAN BİR YAPAY GÖRME SİSTEMİ,Görüntü İşleme
ANLIK MESAJLAŞMA VE SANAL ASİSTAN PLATFORMUNDA YENİLİK,Görüntü İşleme
CİLT KANSERİ TESPİT VE KANSER TÜRÜNÜN SAPTANMASI İÇİN YENİ BİR YÖNTEM,Görüntü İşleme
YUVARLAK ÖRGÜ MAKİNESİ VE OTOMATİK KONTROL SİSTEMİ,Görüntü İşleme
ALÜMİNYUM TÜP ÜRETİM HATTINDA TORNA MAKİNESİ ÇIKIŞI TÜP BOY VE ÇAPAK KONTROLÜ İÇİN BİR YÖNTEM,Görüntü İşleme
OTONOM UV-C IŞIK KAYNAKLI STERİLİZASYON ROBOTU,Görüntü İşleme
MEYVE VE SEBZELERDE KUSURLU ÜRÜNLERİN AYIKLANMASINI SAĞLAYAN TAŞINABİLİR MODÜLER VE IOT DESTEKLİ AYIKLAMA KABİNİ,Görüntü İşleme
KAZANDIRAN GERİ DÖNÜŞÜM MAKİNESİ VE BİR GERİ DÖNÜŞÜM YÖNTEMİ,Görüntü İşleme
LASTİK SIRT GENİŞLİĞİ ÖLÇÜM VE ANALİZ SİSTEMİ VE YÖNTEMİ,Görüntü İşleme
BİR ÖLÇÜM VE ANALİZ SİSTEMİ,Görüntü İşleme
Görüntü İşleme Yöntemiyle Emniyet Kemerinin Otomatik Dikey Ayarlanması Sistemi,Görüntü İşleme
MODEM HASAR TESPİT SİSTEMİ,Görüntü İşleme
Katı atıkların yapay zeka destekli ayrıştırma ve değerlendirme sistemi,Görüntü İşleme
Bir sedimantasyon hızı tayin cihazı.,Görüntü İşleme
DİJİTAL KİMLİK DOĞRULAMA SİSTEMİ,Görüntü İşleme
GÖRÜNTÜ İŞLEME İLE KONTROL EDİLEBİLEN VİDEO ÇEKİM ARACI,Görüntü İşleme
OTONOM BİR ÖNERİ SİSTEMİ,Görüntü İşleme
Yapay zeka/makine öğrenmesine dayalı tahmin sistemi ve yöntemi,Görüntü İşleme
SIKMA DELME KILAVUZ ÇEKME GİBİ İŞLEMLERİ GERÇEKLEŞTİREN BİR PROSES ROBOTU,Görüntü İşleme
OTOMATİK YÖNLENDİRMELİ ARAÇ,Görüntü İşleme
Kan tüpü seçme ve hazırlama işlemine yönelik yapay zekâlı görme Fonksiyonlu robotik tabanlı programlanabilir cihaz,Görüntü İşleme
AÇIK / KAPALI ALANLARDA İŞ KAZALARININ ÖNLENMESİ İÇİN SABİT / HAREKETLİ VE KUMANDALI / OTONOM ARAÇLARI KULLANARAK YENİ BİR UYARI SİSTEMİNİN GELİŞTİRİLMESİ,Görüntü İşleme
BİR YÜZ ANALİZİ SİSTEMİ,Görüntü İşleme
BİR DOKÜMAN KONTROL SİSTEMİ,Görüntü İşleme
TREYLER GERİ PARK ETME DESTEK SİSTEMİ VE YÖNTEMİ,Görüntü İşleme
GÖRÜNTÜ İŞLEME TABANLI BİR TOPLULUK OYLAMA SİSTEMİ,Görüntü İşleme
ACİL DURUM ARACI DRONE DESTEK SİSTEMİ,Görüntü İşleme
AKILLI HATA TESPİT SİSTEMİ,Görüntü İşleme
GÜVENLİ SÜRÜŞ SİSTEMİ,Görüntü İşleme
YIĞIN HALİNDEKİ MADDELER İÇİN HACİM VE AĞIRLIK ÖLÇÜM SİSTEMİ,Görüntü İşleme
Atm'ler için görüntü tabanli bir güvenlik tertibatı,Görüntü İşleme
GELİŞMİŞ SÜRÜCÜ GÜVENLİKTAKİPİHBAR CİHAZI VE PLATFORMU,Görüntü İşleme
Tekstil üretiminde baskı kalite kontrol ve paketleme işlemlerini kapsayan kontinü bir sistem ve yöntem,Görüntü İşleme
KOLONİ TESPİT VE SAYIM YÖNTEMİ,Görüntü İşleme
BİR ERKEN UYARI SİSTEMİ,Görüntü İşleme
KABLOSUZ DOĞALGAZ BORUSU MUAYENE ROBOTU,Görüntü İşleme
BİR İŞTEN AYRILMA EĞİLİMİ TESPİT SİSTEMİ,Görüntü İşleme
BİR ÜRÜN YÖNETİM SİSTEMİ,Görüntü İşleme
GÖRÜNTÜ İŞLEME İLE HAVALANDIRMA KLAPE KONTROL YÖNTEMİ,Görüntü İşleme
Uçangözlerde Öznitelik ve Optik Akış'ın Ortak Kullanımıyla Gerçek Zamanlı Hareketli Nesne Tespit Sistemi,Görüntü İşleme
OKUL SERVİSİ GÖRÜNTÜ İŞLEME İLE GÜVENLİK SİSTEMİ,Görüntü İşleme
ARAZİ KOŞULLARI TARAMA SİSTEMİ VE YÖNTEMİ,Görüntü İşleme
YAYA GEÇİDİ İHLALİNİ TESPİT EDEN BİR SİSTEM,Görüntü İşleme
AÇIK UÇLU SINAVLARIN OKUNMASI VE PUANLAMA YAPILABİLMESİNE YÖNELİK BİR SİSTEM,Görüntü İşleme
BİR KAZA ÖNLEME SİSTEMİ,Görüntü İşleme
YÜZ TANIMA İLE ŞÜPHELİ KİŞİNİN KONUMUNUN BELİRLENMESİNİ SAĞLAYAN BİR SİSTEM,Görüntü İşleme
İndirgenmiş solma ve lekeleme oranını hesaplayan sistem ve yöntem,Görüntü İşleme
ASEPTİK PAKETLERDE SIZDIRMAZLIK TESPİT SİSTEMİ,Görüntü İşleme
PLAKA TANIMA SİSTEMİ KAMERA GÖRÜNTÜLERİ KULLANILARAK ÖN KOLTUK YOLCU KAPASİTESİ İHLAL TESPİT YÖNTEMİ,Görüntü İşleme
METAL VEYA PLASTİK AKSESUAR ÜRETİMİNDE KAMERA DESTEKLİ RENK KALİTE KONTROLÜNE YÖNELİK BİR SİSTEM,Görüntü İşleme
TRAFİK KURALLARININ OTOMATİK OLARAK TAKİP EDİLEREK SÜRÜCÜ HAREKETLERİNİN İZLENMESİ DENETLENMESİ VE RAPORLANMASI,Görüntü İşleme
Gerçek yol şartlarında hızlandırılmış sanal otonom araç test sistemi.,Görüntü İşleme
DOKUNMATİK OLMAYAN EKRANLARIN KONTROLÜNE İLİŞKİN BİR YÖNTEM,Görüntü İşleme
Üzerinde Segman-Bilezik-Rulman Bulunan Kam milleri İçin Hata Kontrollü Montaj Tezgâhı,Görüntü İşleme
Emniyet kemeri kullanımını kontrol eden bir tespit sistemi ve yöntemi,Görüntü İşleme
ARAÇ ÖN KOLTUKLARINDA ÇOCUK YOLCU TESPİT YÖNTEMİ,Görüntü İşleme
GÖRÜNTÜ İŞLEME VE ROBOTİK TEKNOLOJİLER KULLANILARAK YAPILAN SAÇ EKİM SÜRECİ DEĞERLENDİRME YÖNTEMİ VE YÖNTEME AİT SİSTEM,Görüntü İşleme
Bir Mutfak Asistan Sistemi,Görüntü İşleme
KARA DENİZ HAVA TAŞITLARI KOLTUKLARINDAKİ YOLCULARIN GÜVENLİĞİNİ ANLIK KONTROL EDEN DENETLENME KAYIT VE UYARI SİSTEMİ,Görüntü İşleme
TAŞIT TANIMA SİSTEMLERİ İÇİN BİR SUNUM/TANITIM DÜZENEĞİ,Görüntü İşleme
Makine öğrenmesi ve görüntü işleme destekli yüz tanıma teknolojisiyle hastalık risk analizi tanı ve takip sistemi.,Görüntü İşleme
Ekrana karşıdan bakılmasını sağlayan bir sistem.,Görüntü İşleme
Mobil cihazlar için bir uyarı sistemi.,Görüntü İşleme
Beyin kitlelerine yönelik ön tanı yöntemi ve evre tespiti.,Görüntü İşleme
Hemositometre tabanlı otomatikleştirilmiş hücre sayım sistemi.,Görüntü İşleme
BİR İÇERİK İŞLEME CİHAZI,Görüntü İşleme
Yapay zekalı sonlu elemanlar analizörü.,Görüntü İşleme
Elektrikli fırınlar için bir gıda pişme durumu tespit sistemi,Görüntü İşleme
KESİNTİSİZ KAMERA KAYDI YAPAN BİR SİSTEM VE YÖNTEM,Görüntü İşleme
FOTOĞRAF VE VİDEO VERİLERİNDEN OLASI HASTALIKLARI TEŞHİS EDİP KULLANICIYI BİLGİLENDİREN BİR SİSTEM VE YÖNTEM,Görüntü İşleme
Renk Körleri İçin Akıllı Gözlük,Görüntü İşleme
Fiziki bir kart ile ilişkilendirilen artırılmış gerçeklik içeriğinin güvenli bir şekilde alıcıya iletilmesini sağlayan bir sistem.,Görüntü İşleme
ELEKTRONİK GÖRÜNTÜ KAYDETME CİHAZLARI İÇİN BİR ÇALIŞMA YÖNTEMİ,Görüntü İşleme
Denizaltı araçlarında kullanılan bir görüntüleme sistemi ve yöntemi,Görüntü İşleme
Görüntü İşleme Bazlı Akıllı Trafik Işık Yönetim Sistemi,Görüntü İşleme
PENCERELER İÇİN ÇOCUK GÜVENLİK SİSTEMİ,Görüntü İşleme
Bir görüntü işleme yöntemi,Görüntü İşleme
Saç durumunun değerlendirilmesi için analiz birimi ve sistemi.,Görüntü İşleme
ARAÇ DİKİZ AYNASININ KONTROLÜ İÇİN BİR ÇALIŞMA YÖNTEMİ,Görüntü İşleme
GÖRÜNTÜLEME CİHAZLARI İÇİN BİR EKRAN ENGEL TESPİT CİHAZI,Görüntü İşleme
Kara yollarında oluşan yüzey bozukluklarının algılanmasını ve yetkili kuruma bildirilmesini sağlayan sistem,Görüntü İşleme
Makyaj Gözlüğü Sistemi,Görüntü İşleme
OTOMATİK GÖRÜNTÜ İŞLEME OTOMATİK KARŞILAŞTIRMALI ARAÇ ALTI GÖRÜNTÜLEME VE PLAKA TANIMA SİSTEMİ,Görüntü İşleme
Çok işlevli bir algılama sistemi,Görüntü İşleme
KARA TAŞITI İÇİN GÜVENLİK SİSTEMİ,Görüntü İşleme
GÖRME ENGELLİ KİŞİLER İÇİN BİR AKILLI KILAVUZ CİHAZI,Görüntü İşleme
Protatif Balık Tespit Cihazı,Görüntü İşleme
Görme engelli kişiler için bir akıllı kılavuz cihazı.,Görüntü İşleme
Tekstil ve kağıt ürünlerinde kamera ile görsel kalite kontrol metodu.,Görüntü İşleme
Fetüs görüntüleme sistemi ve yöntemi.,Görüntü İşleme
Çevre takibi ve güvenliği için bir sistem.,Görüntü İşleme
METAL PROFİLLERİN ELEKTROLİTİK KAPLAMASI İŞLEMİNDE PROFİLLERİ HATTA OTOMATİK YÜKLEYİP BOŞALTAN GÖRÜNTÜ İŞLEME ESASLI ROBOTİK SİSTEM,Görüntü İşleme
SIRA VE İŞLEM SONUCU TAKİBİ İÇİN BİR SİSTEM,Görüntü İşleme
İÇERDİĞİ GÖMÜLÜ SİSTEM VE SAHİP OLDUĞU ÇOK İŞLEVLİ MULTİSPEKTRAL KAMERALARLA ÇEKİLEN GÖRÜNTÜLERİ İŞLEYİP ALGILAYIP YORUMLAYABİLEN BİR GÖRÜNTÜLEME CİHAZI,Görüntü İşleme
Uav tespiti,Görüntü İşleme
Fotoğraf çekerek hesap ödemeyi sağlayan sistem,Görüntü İşleme
Toplu taşıma yolcu yoğunluğu yönetimini sağlayan sistem ve yöntem,Görüntü İşleme
Drone vasıtasıyla gerçekleştirilen ekin kontrol sistemi,Görüntü İşleme
KORELASYON FİLTRE TABANLI HEDEF TAKİBİ İÇİN BİR UZAMSAL PENCERELEME YÖNTEMİ,Görüntü İşleme
LÜMİNESAN ÇEKİŞ AÇISI TESPİT BİLEŞENİ,Görüntü İşleme
FOTOĞRAF İLE SIĞIR YAŞ TAYİNİ TESPİTİ,Görüntü İşleme
Üç boyutlu net görüş gözlüğü.,Görüntü İşleme
